Available Attributes and their Defaults,Window,Button,Checkboxes,RadioButtons,Text,FormattedText,TextBox,Menu,MenuItem,Image,Possible Values
title,"""Untitled Window""",,"""Untitled Checkboxes""","""Untitled Radio Buttons""",,,"""Untitled Text Box""",,"""Untitled Menu Item""","""""",A plaintext string | A FormattedText object
text,,"""Untitled Button""",,,"""Text""","""Formatted Text""","""Type here""",,,"""Image Caption""",A plaintext string | A FormattedText object
options,,,"*""Option 1"" ""Option 2"" ""Option 3""","*""Option 1"" ""Option 2"" ""Option 3""",,,,,,,"A list separated by spaces containing (For Checkboxes etc) A string preceded by a * if default selected; (For Menu) A menuItem object; (For MenuItem) A menuItem object | a terminal in the format ""name"":action"
menuoption,,,,,,,,menuItem1 menuItem2 menuItem3,"""Option 1"" ""Option 2"" ""Option 3""",,
position,,center,center,center,center,,center,,,center,A string description of the position (or is this a keyword?); An (x y) coordinate separated by a space
size,medium,medium,medium,medium,medium,,medium,,,medium,A string description of the size (or keyword?); The (x y) dimensions separated by a space
color,white,,,,white,,,,,,A string description of the color (or keyword?); An rgb value separated by spaces
action,"""""","""""",,,,,,,,,The name of a Python or Gooey function to call when the object is acted upon
hidden,False,False,False,False,False,,False,False,False,False,A boolean indicating whether the object is hidden (True | true | False | false)
font,,,,,,"""Times New Roman""",,,,,The string name of a font available in Gooey
fontSize,,,,,,12,,,,,A number indicating the font size
textColor,,,,,,black,,,,,A color (A string description or an rgb value)
bold,,,,,,False,,,,,True | False
italics,,,,,,False,,,,,True | False
underline,,,,,,False,,,,,True | False
source,,,,,,,,,,defaultIcon,A string containing a path/filename
